,set_number,start_date,end_date,start_latitude,start_longitude,end_latitude,end_longitude,id
163,164,2023-07-05 11:48:49+00:00,2023-07-06 11:18:37+00:00,46.561181166666664,-63.611215,46.561145833333335,-63.6113125,514
164,165,2023-07-05 12:01:27+00:00,2023-07-06 11:29:10+00:00,46.577342333333334,-63.638087166666665,46.576764999999995,-63.637674833333335,515
165,166,2023-07-05 12:15:23+00:00,2023-07-06 11:45:06+00:00,46.59652866666666,-63.670848166666666,46.59628533333334,-63.6707045,516
166,167,2023-07-05 12:28:34+00:00,2023-07-06 11:58:49+00:00,46.61859116666667,-63.6990745,46.618506,-63.69879933333333,517
167,168,2023-07-05 12:41:49+00:00,2023-07-06 12:10:05+00:00,46.637655833333326,-63.731091666666664,46.63784916666667,-63.73102466666667,518
168,169,2023-07-05 12:54:10+00:00,2023-07-06 12:21:20+00:00,46.66012116666668,-63.75981933333333,46.65982316666667,-63.75933066666666,519
169,170,2023-07-05 13:07:20+00:00,2023-07-06 12:33:20+00:00,46.67917283333333,-63.792228333333334,46.6792475,-63.792159833333336,520
170,171,2023-07-05 13:20:04+00:00,2023-07-06 12:46:46+00:00,46.65959316666667,-63.82052733333334,46.659728,-63.820421333333336,521
171,172,2023-07-05 13:34:04+00:00,2023-07-06 12:56:35+00:00,46.637663833333335,-63.791830833333336,46.63765333333333,-63.79123116666667,522
172,173,2023-07-05 13:46:30+00:00,2023-07-06 13:08:22+00:00,46.618613833333335,-63.75954316666667,46.618345166666664,-63.7592135,523
173,174,2023-07-05 13:59:20+00:00,2023-07-06 13:19:25+00:00,46.596465,-63.731294,46.59629416666666,-63.730895,524
174,175,2023-07-05 14:12:31+00:00,2023-07-06 13:32:22+00:00,46.5768105,-63.69888616666667,46.57685566666667,-63.698784666666675,525
175,176,2023-07-05 14:45:01+00:00,2023-07-06 14:22:26+00:00,46.5717165,-63.7684095,46.571323166666666,-63.76823916666667,526
176,177,2023-07-05 15:04:14+00:00,2023-07-06 14:42:41+00:00,46.590871,-63.801261833333335,46.59059016666666,-63.80099966666667,527
177,178,2023-07-05 15:26:17+00:00,2023-07-06 15:01:27+00:00,46.550500166666666,-63.84966049999999,46.55070683333334,-63.84949916666667,528
178,179,2023-07-05 15:42:17+00:00,2023-07-06 15:16:20+00:00,46.512405333333334,-63.85135666666666,46.51261983333333,-63.85100216666667,529
179,180,2023-07-05 15:57:43+00:00,2023-07-06 15:28:39+00:00,46.531067,-63.81712783333333,46.53141233333334,-63.8169605,530
180,181,2023-07-05 16:12:08+00:00,2023-07-06 15:43:24+00:00,46.51256633333333,-63.790384833333334,46.51300466666667,-63.791157,531
